OTUID,taxonomy,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,
11e288f2bcd98114af82eb6e2a710f06,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Dactylosporangium; s__,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium,,,,,
eeaaa439170471b8b6e152634005c5ab,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__A21b; f__UD5; g__; s__,Bacteria,Proteobacteria,Betaproteobacteria,A21b,UD5,,,,,,
f3a203336da1393683640c2ac62d561d,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,,,,,
825f5db590e54b017354cbaa631d0c6c,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,,,,,
9f4af66b21067c1fd6c5ab4050091b2e,k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__; s__,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,,,,,
5e52c26027735a0ec3304cf1beeb1ae9,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Flavisolibacter,,,,,
42e01777dda2b47f57b1fd3f672ee240,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,,,,,
7620976a6d794535534ff0ed657431bb,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,,,,,
d80ef265b024cd8c3832d94a546a8179,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,,,,,
0e8d4d0d66117b41b9e0bc4a89bc5fbd,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,,,,,,
0606441bf7c28d295edbf1ef978c66f6,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Chitinophaga; s__,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Chitinophaga,,,,,
e16733a90e80aaba456e54689fa6524e,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Duganella; s__nigrescens,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,nigrescens,,,,
50c0449565fea6a8d3b3dca30d974e85,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,,,,,
f18d920ccbbd6cf8ef0aa5c5aefbdc51,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__,Bacteria,Acidobacteria,Sva0725,Sva0725,,,,,,,
3ad48ed53987041dbc359e4b6fb8657c,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,,,,,
dfce244da235e39d2d68a42bb22e5765,k__Bacteria; p__OP11; c__OP11-3; o__; f__; g__; s__,Bacteria,OP11,OP11-3,,,,,,,,
cceea69b9663733ab508e4342b8ceef4,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,,,,,,
8784a089d49375f96d737ff04b77368c,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__; s__,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,,,,,,
876f3166bfbe9963b51e04fa8e86177e,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,,,,,
da105a92a16feff093a05f16736280f5,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__,Bacteria,Proteobacteria,Betaproteobacteria,,,,,,,,
718f164261439049089a253e1b571e24,k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__; s__,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,,,,,
52333edeee21b6db4c1675f06afbda42,k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__,Bacteria,WPS-2,,,,,,,,,
2a250eb1dfe7559048da369bbd1fd173,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,,,,,
a5de5b4502ac09ed620ec901ec48b392,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,,,,,
fe145475b842bebcc72aa250ded3d729,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,,,,,
7cf63f3a48c7598590a5e0bc403a1ba7,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,,,,,
5646783428d984102ea408ab23a8f13c,k__Bacteria; p__Chloroflexi; c__TK10; o__B07_WMSP1; f__FFCH4570; g__; s__,Bacteria,Chloroflexi,TK10,B07_WMSP1,FFCH4570,,,,,,
857755fb99fa16d67682f14e3839d779,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Ellin5301; g__; s__,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Ellin5301,,,,,,
cc4282c93282a63697e97064a9f7167b,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,,,,,
524bb8781e386560bb51295d09e168aa,k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__,Bacteria,TM7,TM7-1,,,,,,,,
16fe275483458105da48f5a2fcf8a0fc,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,,,,,
a1d04bc4498abd7b7f92c603480c045e,k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__[Kouleothrixaceae]; g__; s__,Bacteria,Chloroflexi,Chloroflexi,[Roseiflexales],[Kouleothrixaceae],,,,,,
f9b5fb7daf3c1119fd0364df569757fd,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__11-24; f__; g__; s__,Bacteria,Acidobacteria,[Chloracidobacteria],24-Nov,,,,,,,
96e52ae7a1872171582beca06f2043f2,k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,,,,,
