"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"570f9dd8a97dbcb0e209625efb57171a",8.778989405809,2.66884362719675,0.738401485588554,3.61435300346058,0.000301098588877991,0.0012656347464702,"k__Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon_asahii"
"051824af7becd97152ee1f5497ac3c42",6.15834830823602,-1.9666066065318,0.712020768836251,-2.76200736355778,0.00574471827975343,0.0156559355316357,"k__Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"02009b68d70ce1a33d0c585e1ffd95c8",6.79176228746141,2.33690095933389,0.796374981368502,2.9344228711431,0.00334168593463048,0.0101065623388824,"k__Fungi",NA,NA,NA,NA,NA,NA
"83729a04fbeabd3778d5f2cbe9eba655",4.69299254602518,-2.29797921325823,0.769171091027705,-2.98760476058436,0.00281172912574719,0.00882669396437094,"k__Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Marasmiellus",NA
"0c4b86bacbffe7cf000a1d410d33b344",12.3462782012623,2.04594758811972,0.630658890550484,3.24414294125605,0.00117804611853948,0.00411486531546186,"k__Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis_afrocinerea"
"0552744891f2460c4504797bde2b12a2",7.42061758414668,-1.96154859549638,0.779812330127689,-2.51541110561203,0.0118893655893831,0.0289074771192845,"k__Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Papulosaceae","Wongia","Wongia_sp"
"29d67d2f3291342d51ee9d1a99996442",11.6582959251329,-3.07153191843348,0.634131138372125,-4.84368568671521,1.27452497882362e-06,8.78006096522935e-06,"k__Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","unidentified","Tubeufiaceae_sp"
"fe922cf04486609e0a5b7e021999463d",14.3100609318259,-2.30533480544014,0.698844224380333,-3.29878208192145,0.000971052622664087,0.00354148603559843,"k__Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae",NA,NA
"fb014d508d8b5e83304cb4c1c5ccc1fe",10.2011673993646,-3.30894286873973,0.764557753916146,-4.32791748143417,1.50525840843297e-05,8.29564633980837e-05,"k__Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae",NA,NA
"5ed4e52ff838c3d3cb0ae2aece3850a0",15.798197601528,-3.03558034188062,0.662366857120113,-4.58292909623971,4.58507544879578e-06,2.84274677825338e-05,"k__Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"886a0f2679850d4ac0d711737e3bac3c",17.0655757443415,5.10814605877702,0.679587406901706,7.51654019321146,5.62447952283689e-14,1.26806447423959e-12,"k__Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","unidentified","unidentified","Spizellomycetales_sp"
"2a8d92f99dbdd34defd37420b0dafc6b",9.68077040641094,-3.45021377165068,0.708691200753573,-4.86843037980711,1.12488137978875e-06,8.205017123165e-06,"k__Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"68986c0dfb7cb7c135b0e021c7bec41c",12.3822906297636,-2.81385379654954,0.749566879386126,-3.7539729594963,0.000174053648374771,0.000757286049069181,"k__Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia_epilithographicola"
"98e38f83d26692857003202cad573c07",5.73557007227388,-2.21992981131688,0.74757719985785,-2.96949908549778,0.00298285700231312,0.00924685670717066,"k__Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia","Oliveonia_sp"
